file_name,date_uploaded,file_size,batch_url,contents
ak_albatross_ver01.tar.bz2,2019-07-30,768.84 MB,https://chroniclingamerica.loc.gov/batches/ak_albatross_ver01/,"[{'sn84021930': {'newspaper_title': 'Douglas Island news. [volume]', 'years': [1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1907]}}, {'sn94050023': {'newspaper_title': 'The Thlinget. [volume]', 'years': [1908, 1909, 1910, 1911, 1912]}}, {'sn84020657': {'newspaper_title': 'The Alaska daily empire. [volume]', 'years': [1912, 1913, 1914, 1915, 1916, 1917, 1918]}}]"
ak_arcticfox_ver02.tar.bz2,2021-12-30,671.76 MB,https://chroniclingamerica.loc.gov/batches/ak_arcticfox_ver02/,"[{'sn93049269': {'newspaper_title': 'Fort Wrangel news. [volume]', 'years': [1898]}}, {'sn94050095': {'newspaper_title': 'Stikeen River journal.', 'years': [1898, 1899]}}, {'sn93059165': {'newspaper_title': 'Alaska sentinel.', 'years': [1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914]}}, {'sn94050093': {'newspaper_title': 'The Wrangell sentinel.', 'years': [1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956]}}]"
ak_arctictern_ver01.tar.bz2,2020-08-09,266.38 MB,https://chroniclingamerica.loc.gov/batches/ak_arctictern_ver01/,"[{'sn96060006': {'newspaper_title': 'The Alaska socialist.', 'years': [1913, 1914, 1915]}}, {'sn96060045': {'newspaper_title': 'The Eskimo bulletin. [volume]', 'years': [1893, 1894, 1895, 1896, 1897, 1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905]}}, {'sn95060014': {'newspaper_title': 'The midnight sun. [volume]', 'years': [1893, 1894, 1895, 1896, 1897, 1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905]}}, {'sn96060026': {'newspaper_title': 'The free press.', 'years': [1914]}}, {'sn83045298': {'newspaper_title': 'Kodiak mirror. [volume]', 'years': [1959, 1960, 1961, 1962, 1963]}}, {'sn97060029': {'newspaper_title': 'The new native.', 'years': [1919, 1920]}}, {'sn87062014': {'newspaper_title': 'The Nome daily nugget. [volume]', 'years': [1933, 1934, 1935, 1936, 1937]}}, {'sn87062013': {'newspaper_title': 'The Nome nugget.', 'years': [1933, 1934, 1935]}}, {'sn84020664': {'newspaper_title': 'Tundra times. [volume]', 'years': [1962, 1963]}}]"
ak_belugawhale_ver01.tar.bz2,2020-12-17,436.5 MB,https://chroniclingamerica.loc.gov/batches/ak_belugawhale_ver01/,"[{'sn94050056': {'newspaper_title': 'The Ketchikan miner. [volume]', 'years': [1913, 1914, 1915]}}, {'sn94050055': {'newspaper_title': 'The Ketchikan mining news. [volume]', 'years': [1907]}}, {'sn84020662': {'newspaper_title': 'The Nome nugget. [volume]', 'years': [1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945]}}, {'sn87062011': {'newspaper_title': 'The Nome daily nugget.', 'years': [1915, 1916, 1917]}}, {'sn94050061': {'newspaper_title': 'The daily progressive-miner. [volume]', 'years': [1915, 1916]}}]"
ak_bluewhale_ver01.tar.bz2,2019-07-30,693.31 MB,https://chroniclingamerica.loc.gov/batches/ak_bluewhale_ver01/,"[{'2017218619': {'newspaper_title': 'The daily Alaskan. [volume]', 'years': [1898, 1899, 1900]}}, {'sn87062035': {'newspaper_title': 'The daily morning Alaskan.', 'years': [1898, 1899, 1900, 1901, 1902, 1903, 1904]}}, {'sn94050030': {'newspaper_title': 'The morning Alaskan. [volume]', 'years': [1898, 1899, 1900]}}, {'sn84020657': {'newspaper_title': 'The Alaska daily empire. [volume]', 'years': [1913]}}, {'sn84021930': {'newspaper_title': 'Douglas Island news. [volume]', 'years': [1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922]}}, {'sn93049267': {'newspaper_title': ""The Stroller's weekly and Douglas Island news. [volume]"", 'years': [1919, 1920, 1921, 1922]}}, {'sn82014189': {'newspaper_title': 'The daily Alaskan. [volume]', 'years': [1903, 1904, 1905]}}]"
ak_bowheadwhale_ver01.tar.bz2,2022-03-07,640.18 MB,https://chroniclingamerica.loc.gov/batches/ak_bowheadwhale_ver01/,"[{'sn83045499': {'newspaper_title': 'The Daily Alaska empire. [volume]', 'years': [1929, 1930, 1931, 1932]}}]"
ak_caribou_ver01.tar.bz2,2019-07-30,547.76 MB,https://chroniclingamerica.loc.gov/batches/ak_caribou_ver01/,"[{'sn82014189': {'newspaper_title': 'The daily Alaskan. [volume]', 'years': [1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913]}}]"
ak_chinooksalmon_ver03.tar.bz2,2021-06-16,265.52 MB,https://chroniclingamerica.loc.gov/batches/ak_chinooksalmon_ver03/,"[{'sn84020662': {'newspaper_title': 'The Nome nugget. [volume]', 'years': [1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952]}}]"
ak_commonraven_ver01.tar.bz2,2022-05-05,654.19 MB,https://chroniclingamerica.loc.gov/batches/ak_commonraven_ver01/,"[{'2021218673': {'newspaper_title': 'The ""J"" bird. [volume]', 'years': [1932, 1933, 1934, 1935, 1936]}}, {'sn83045499': {'newspaper_title': 'The Daily Alaska empire. [volume]', 'years': [1933, 1934, 1935, 1936]}}]"
ak_dallsheep_ver02.tar.bz2,2019-07-11,578.11 MB,https://chroniclingamerica.loc.gov/batches/ak_dallsheep_ver02/,"[{'sn82014189': {'newspaper_title': 'The daily Alaskan. [volume]', 'years': [1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922]}}, {'sn84021905': {'newspaper_title': 'The Alaska prospector. [volume]', 'years': [1908, 1909]}}, {'sn98060264': {'newspaper_title': 'Valdez daily prospector.', 'years': [1908, 1909, 1910, 1911, 1912]}}, {'sn84021940': {'newspaper_title': 'Valdez weekly prospector. [volume]', 'years': [1908, 1909]}}]"
